,Country,Inflation.1973,Inflation.1974,Inflation.1975,Inflation.1980,Inflation.1981,Inflation.1982,Inflation.1989,Inflation.1990,Inflation.1991,Inflation.2007,Inflation.2008,Inflation.2009
1,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.38201578,2.179103285,-2.107082554
2,Angola,NA,NA,NA,NA,NA,NA,49.40239041,0.300902727,169.905533,12.61647718,19.68156235,-7.418798779
3,Argentina,65.53528737,30.63044137,197.6973645,90.84080162,106.364099,207.6176814,3057.628836,2076.793473,132.9532282,14.93992502,23.17116498,15.37764937
4,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.46248902,14.27570645,-5.132055593
5,Australia,8.998748309,16.4054576,16.47712699,10.01221446,9.524514667,11.72269179,9.259652552,6.118566796,3.042064209,4.975641841,4.536310854,4.925265473
6,Barbados,NA,NA,NA,NA,NA,NA,NA,NA,3.224689544,4.679552537,1.445173653,0.292507275
7,Brazil,22.66485302,34.80018569,33.86227732,87.30687533,107.2140338,104.8323636,1209.121328,2700.44214,414.2362617,6.439034832,8.778395153,7.313539982
8,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.518033506,12.25378661,2.504384662
9,Canada,9.686715636,15.19809743,10.69515381,10.07159878,10.77663486,8.83802407,4.713338852,3.423340044,3.094211252,3.31877548,4.004975858,-2.29424686
10,China,0.208465019,0.277735673,-1.131175156,3.778198017,2.299815098,-0.064555702,8.623799198,5.724589743,6.683985627,7.805018466,7.827406952,-0.133898166
11,Cuba,3.251543959,11.85888112,4.329206231,5.395328573,-2.536947713,-2.227549547,0.624843951,5.261274572,-7.387843306,3.589775462,-0.344532567,0.634175021
12,Ecuador,7.197484165,52.47955888,5.575828937,21.63569219,15.49144586,-9.182174017,5.367978414,5.813629203,6.889320383,6.650502273,13.8473189,0.655537559
13,France,7.864121835,11.82165351,13.75727242,11.69057934,11.69571584,12.09580505,3.298483815,2.670432337,2.569563408,2.563906343,2.379119109,0.096624424
14,Germany,6.299513705,7.275290202,5.66662366,5.451189415,4.175238767,4.581058552,2.879066748,3.396643509,3.085079746,1.697387271,0.838791683,1.7569942
15,India,17.82971564,16.66751573,-1.648681546,11.50832081,10.82758198,8.095863095,8.436808873,10.66830385,13.75181894,5.756243466,8.664665347,6.063829304
16,Israel,22.2439388,35.49811447,36.56802421,125.3674846,124.6213608,127.2443675,18.70286645,15.93206613,20.12976969,1.169986042,2.427106243,3.884727031
17,Italy,12.73863265,20.24637988,16.98308845,20.81579471,18.78722596,17.54095015,6.197387864,8.914063408,7.581328697,2.434610726,2.480577356,1.957826338
18,Mexico,13.42443674,23.11210095,15.62549816,33.40909959,26.00945817,60.92232761,26.52824948,28.13049291,23.25061944,5.022810997,6.001252742,3.53693541
19,Morocco,6.039392995,23.89823584,0.931315959,33.02313144,9.470476914,6.298352503,2.919979056,7.694359622,5.396316179,3.595054801,4.530497095,0.146912227
20,Norway,8.684537363,11.37113673,8.885225502,13.12609399,12.87923385,10.50995828,5.612084724,3.811429996,2.211703307,3.050078613,10.43366077,-5.205030128
21,Peru,12.57553214,15.23343533,22.19156777,37.92997311,65.33058094,66.66333315,2572.325926,6261.239559,382.6433865,1.490675955,1.103276292,2.063698334
22,Philippines,16.87134005,32.59974142,9.315827491,14.24994909,11.70313893,8.701224355,9.033063566,12.97128127,16.5268799,3.090323839,7.549059634,2.773246712
23,Spain,11.8495953,15.94510943,16.78178182,13.35482707,12.35119229,13.58232336,6.896194095,7.326251168,6.935139483,3.331139602,2.135441392,0.252533821
24,United Kingdom,8.430276961,15.03444716,25.77763713,19.69939705,11.5504254,7.402275688,7.944489452,7.888311909,6.401250094,2.579644206,2.82238757,1.521299207
25,United States,5.442039936,8.983063068,9.261424055,9.018535344,9.336242988,6.203739761,3.888019538,3.699156703,3.328513079,2.661336394,1.961612383,0.759434764
26,Vietnam,NA,NA,NA,NA,NA,NA,69.68872535,42.09509813,72.5463846,9.630225614,22.67331618,6.215623149
