,Reporting.Economy,Value.1973,Value.1974,Value.1975,Value.1980,Value.1981,Value.1982,Value.1989,Value.1990,Value.1991,Value.2007,Value.2008,Value.2009
1,Afghanistan,143,230,217,670,694,708,236,235.1,189,454,540.066,403.441
2,Angola,792,1202,1012,1883,1856,1629,3015,3910,3410,44396.2,63914,40827.9
3,Argentina,3266,3930.7,2961.3,8021,9143,7625,9579,12353,11978,55778.8,70018.3,55672.1
4,Australia,9559.1,11015.9,11948.4,21944,21477,21360,37125,39752,41854,141358.364,187256.679,154331.058
5,Barbados,53.5049,86.0341,107.317,226,195,257,186,216,207,523.823,487.795,378.522
6,Brazil,6199,7951,8670,20132,23293,20175,34383,31414,31620,159816.3838,195764.6242,151791.6742
7,Cambodia,15,19,5,16,10,12,44,86,213,4088.48,4708.01,4196.21
8,Canada,26436.9,34507.6,34074.2,67734,72726,71234,121832,127629,127163,420693.307,456470.923,316093.637
9,China,5876.1,7107.89,7689,18099,22007,22321,52538,62091,71910,1220456,1430693,1201612
10,Cuba,1410,2660,3677,5577,5406,5920,5353,5100,2800,3980.667,3957.447,3092.127
11,Ecuador,532,1123.5,973.9,2480.8,2451.4,2327.4,2353.8,2714.3,2851.5,14321,18818.3255,13863.054
12,France,36668.7,46259.3,53099.7,116030,106424,96694,179397,216588,217100,559612.0181,616240.1232,484781.161
13,Germany,67563.3,89368.4,90175.6,192860,176047,176424,341231,421100,402843,1321214.031,1446171.447,1120040.632
14,India,2917.17,3926.4,4355.12,8585.54,8295.3,9357.88,15871.5,17969.1,17726.8,150158.6,194828.3,164908.7
15,Israel,1448.7,1824.8,1940.7,5538,5670,5255,11072,12080,11921,54092,60825.1,47935
16,Italy,22226.4,30464.7,34987.7,78104,77070,73791,140556,170304,169465,499881.5412,542748.0799,406909.3522
17,Mexico,2250.17,2957.69,2903.84,18031,23307,24055,35171,40711,42688,271821.215,291264.809,229712.337
18,Morocco,910.118,1707.74,1543.14,2441.25,2386,2062,3336.54,4265,4284,15340.105,20344.848,14054.337
19,Aruba,NA,NA,NA,NA,NA,NA,107.150838,155.47486,878.77095,5206.256983,5456.201117,1951.787709
20,Norway,4725.29,6281.94,7231.5,18542.6,18217.3,17593.4,27108.2,34047.2,34107.1,136354.292,171764.345,116778.108
21,Peru,1111.8,1503.3,1290.86,3898,3255,3259,3488,3279.809191,3393.143625,28093.75998,31018.54141,26961.721
22,Philippines,1885.13,2724.91,2294.46,5741,5655,4969,7766.68,8117,8801,50465.72392,49077.54051,38435.80616
23,Vietnam,58,25,229,338,401,526,1946,2404.039,2087.1,48561,62685,57096.33
24,Spain,5197.58,7090.98,7690.49,20720,20334,20498,44492,55642,60177,253297.3318,281493.1987,227338.41
25,United Kingdom,29637.3,38196.6,43422.9,110134,102244,96984,152345,185172,184964,446804.8906,477475.4961,358158.2162
26,United States,70823,99437,108856,225566,238715,216442,363812,393592,421730,1148199,1287442,1056043
